gene_symb,GF_mean,GF_std,SCFA_mean,SCFA_std,log2FC,is_GF_all_zero,is_SCFA_all_zero,gene_type,pvalue,padj,reject_null
Hdgf,86.17999999999999,80.2946654267891,50.05266666666666,86.69376172097583,-0.7720108834057257,False,False,non_specific,0.6246072735182997,0.62,False
Smbd1,11.668,4.72426417550924,7.674333333333333,1.5149839383086983,-0.5463639838714538,False,False,non_specific,0.27799448685089007,0.28,False
Vmp1,7.235,3.063464868412889,3.815,3.3754764108196635,-0.7742328518828956,False,False,non_specific,0.2642099931357372,0.26,False
Ybx2,10.278,7.795277288204698,5.345666666666666,4.642357626608848,-0.8296676034444517,False,False,non_specific,0.4107952737513199,0.41,False
Acsl4,129.09233333333333,80.69473423547123,74.77533333333334,76.13510557117087,-0.7797357444260113,False,False,non_specific,0.44434826826778656,0.44,False
Idua,1.5360000000000003,1.7146999737563422,0.4746666666666666,0.8221467833260271,-0.7821658606258568,False,False,non_specific,0.40783585454494226,0.41,False
Fmo1,3.484666666666667,3.710587195220365,1.5303333333333333,1.587825662134648,-0.8256733066510511,False,False,non_specific,0.4691760761152243,0.47,False
Pphln1,4.270333333333333,3.9562912346455654,1.936,1.9048065518576944,-0.8440422428538362,False,False,non_specific,0.4276239812977067,0.43,False
Vps53,244.88466666666667,98.06281839888824,170.58599999999998,168.8743479720943,-0.5190499258353731,False,False,non_specific,0.5541054335479031,0.55,False
Nfatc1,47.766999999999996,37.20280603664192,25.99466666666667,22.513176082759475,-0.8532308224906837,False,False,non_specific,0.44443199431246283,0.44,False
Mdga1,3.3746666666666667,3.354191010263628,1.5356666666666667,2.659852690156606,-0.7868079888071123,False,False,non_specific,0.5001745873350936,0.5,False
Gigyf2,55.93133333333333,56.92157890759297,21.807000000000002,37.77083196065451,-1.3197461989828907,False,False,non_specific,0.44254253532170185,0.44,False
Pik3r2,5.535,6.223672468888446,3.174,5.497529263223617,-0.6467566355229608,False,False,non_specific,0.6485748034481207,0.65,False
Hnrnpc,154.53766666666667,133.8380779760877,68.761,119.09754557924357,-1.1567713752309121,False,False,non_specific,0.4541564180593992,0.45,False
Msi2,3.279333333333333,3.842299354986976,1.2790000000000001,2.215292982880594,-0.9089851356662053,False,False,non_specific,0.4884404852680082,0.49,False
Lclat1,28.0,27.055498516937366,15.74,14.662247474381271,-0.7927533723519529,False,False,non_specific,0.538546811157214,0.54,False
Ctps2,24.438666666666666,17.81130855196589,16.951333333333334,8.329566755440126,-0.502932051647621,False,False,non_specific,0.5591666817519052,0.56,False
Efna3,1.516,1.5002559781583942,0.7040000000000001,1.2193637685284895,-0.5622065866534507,False,False,non_specific,0.5088059701373514,0.51,False
Med16,162.0,176.44262523551387,78.0,135.09996299037243,-1.0449474060539747,False,False,non_specific,0.5506737295720054,0.55,False
Espn,11.884,5.663192297635672,6.612333333333333,11.452897289914606,-0.7591699241458557,False,False,non_specific,0.5276606432822815,0.53,False
Slc35c1,62.333333333333336,22.007574453658755,39.52733333333333,37.66404441019755,-0.6440697624140109,False,False,non_specific,0.4277135754089703,0.43,False
Serpina3b,17.666666666666668,29.737742572921253,0.3333333333333333,0.5773502691896258,-3.807354922057604,False,False,non_specific,0.4189894746201901,0.42,False
Rexo2,4.777666666666666,7.0074427813099796,0.5593333333333333,0.9687937517001919,-1.8895576113274195,False,False,non_specific,0.406788509541536,0.41,False
Vps29,4.411333333333333,6.115187759450508,0.534,0.9249151312417805,-1.818685629951557,False,False,non_specific,0.38673969809075903,0.39,False
Bhlhe22,1.6666666666666667,1.1547005383792517,0.6666666666666666,0.5773502691896258,-0.6780719051126379,False,False,non_specific,0.273892756441101,0.27,False
Dbi,697.9546666666666,669.2144350283647,357.3196666666667,250.92977684271222,-0.9639516580091088,False,False,non_specific,0.47914267238320957,0.48,False
Nrxn1,2.5486666666666666,2.261596191483646,1.117,0.9702149246429885,-0.7452557961967404,False,False,non_specific,0.3949052840890677,0.39,False
Ppp4r3a,2.412333333333333,2.3594122855773496,1.079,1.8688828213668187,-0.7148688248192264,False,False,non_specific,0.4878019454402617,0.49,False
Pstk,3.0613333333333337,3.0056409188945596,1.4233333333333331,2.4652856494397017,-0.7449605776803359,False,False,non_specific,0.5073879689651203,0.51,False
Rrnad1,4.670000000000001,4.327261951858242,1.9523333333333335,3.3815405266436382,-0.9414931170218999,False,False,non_specific,0.4423232864166258,0.44,False
Rbm20,6.828,8.938478449937662,2.401,2.899313884352641,-1.2026847499189621,False,False,non_specific,0.48713741661646126,0.49,False
Synpo2,40.25733333333334,13.254343640231053,28.091000000000005,34.81397022748196,-0.5040776859037304,False,False,non_specific,0.6172071770219469,0.62,False
Siglec1,24.666666666666668,15.01110699893027,16.421333333333333,11.79102647496533,-0.5590409009558438,False,False,SCFA_specific_low,0.49812816723683717,0.5,False
Septin8,120.38633333333333,68.42757784207573,84.714,28.999506685459327,-0.5020032306519642,False,False,non_specific,0.472952699616175,0.47,False
B3gnt5,16.333333333333332,11.71893055416463,9.666666666666666,5.131601439446884,-0.7004397181410921,False,False,non_specific,0.4389585468350139,0.44,False
Zmiz1,44.422666666666665,49.63724349048135,14.243666666666668,24.6707543527419,-1.5752024398532112,False,False,non_specific,0.4167172083417443,0.42,False
Ccdc74a,8.104333333333335,8.75481709308272,3.1330000000000005,4.069130496801497,-1.1393640157184415,False,False,SCFA_specific_low,0.44182206939325686,0.44,False
Nudt17,3.893333333333333,4.5734706004667105,1.5873333333333333,2.7493419818809977,-0.9193516299451269,False,False,non_specific,0.504244475576089,0.5,False
Abhd6,43.961000000000006,18.517223414972342,29.676,29.03664801591258,-0.5515637488700603,False,False,non_specific,0.5187741381577692,0.52,False
Rgs6,27.741666666666664,18.233472360834984,15.797333333333333,16.080811215026852,-0.7749115073502405,False,False,non_specific,0.4434331090652672,0.44,False
Sds,5.333333333333333,4.509249752822894,3.0,3.0,-0.6629650127224291,False,False,non_specific,0.502765382245401,0.5,False
Stx18,4.3180000000000005,4.135528865816318,2.388333333333333,4.136714678743669,-0.6503079678467293,False,False,non_specific,0.598307325134563,0.6,False
Asph,4.38,4.2464786588419345,2.279666666666667,2.6319195149801473,-0.714056980738696,False,False,non_specific,0.5142539138591609,0.51,False
Bpnt1,74.41799999999999,50.226103930127806,46.76566666666667,47.059705421234135,-0.6589348918638027,False,False,non_specific,0.524976663205292,0.52,False
Zmynd15,18.834999999999997,16.781276024188386,10.186333333333334,13.940669651538744,-0.8263111715963266,False,False,non_specific,0.5312376985208307,0.53,False
Nrn1l,3.6666666666666665,4.041451884327381,1.6666666666666667,2.8867513459481287,-0.8073549220576036,False,False,non_specific,0.527688636740962,0.53,False
Fbxo7,87.16533333333332,78.38084269343712,52.21233333333333,90.4344141150554,-0.7284508323058366,False,False,non_specific,0.6400570341707125,0.64,False
Gm20498,7.953,8.897343030365864,2.8853333333333335,4.997543930105401,-1.2043328095958845,False,False,non_specific,0.45025169969839557,0.45,False
Ptges,56.333333333333336,46.198845584422706,37.333333333333336,26.57693235370353,-0.5807747037577228,False,False,non_specific,0.5781904199082658,0.58,False
Myo15b,2.2306666666666666,1.9680653783178377,1.1706666666666667,2.027654145393966,-0.5736937051850994,False,False,non_specific,0.5513176656680776,0.55,False
Dhcr7,59.333333333333336,58.045958802773974,30.666666666666668,53.116224765445565,-0.9299902787522576,False,False,non_specific,0.5625175582010737,0.56,False
Lrrc51,9.106666666666667,8.32470770257631,4.951333333333333,8.5759608985427,-0.7640224224661634,False,False,non_specific,0.5795483621480902,0.58,False
Zfp950,5.156333333333333,6.406330645020856,2.5043333333333333,2.2911015545656928,-0.8129313371005611,False,False,non_specific,0.5566249061013576,0.56,False
Sccpdh,3.6636666666666664,3.6358273244659642,1.922,3.329001652147382,-0.6745084981473105,False,False,non_specific,0.5738924393236633,0.57,False
Bcas1,15.163000000000002,13.36043910206547,8.601333333333333,14.897946346169103,-0.7513883289381987,False,False,high_in_SCFA,0.6007769859851375,0.6,False
Ank1,2.814666666666666,2.880622560026449,1.659,1.6580009047042161,-0.520673219744359,False,False,non_specific,0.5870965465320095,0.59,False
C1s2,2.395,2.137714901477744,1.365,2.3642493523315173,-0.5215713909053364,False,False,non_specific,0.6058216424670112,0.61,False
Tank,56.822,56.3647051620072,30.47666666666667,52.78713511200748,-0.8773357413054429,False,False,non_specific,0.5864882306919349,0.59,False
Fnbp1,19.237333333333336,17.603926105654196,10.475666666666667,18.144386909822366,-0.8184412312017126,False,False,GF_specific_medium,0.580697026925952,0.58,False
Atxn2,10.267333333333333,9.19172678735249,5.8933333333333335,10.207552759272582,-0.7088724248995402,False,False,non_specific,0.6109293151653956,0.61,False
Zfp143,24.352666666666664,28.073352513252374,15.043999999999999,26.05697234906619,-0.6601036307737931,False,False,non_specific,0.6955444254655853,0.7,False
AC151602.1,15.808,13.697070635723538,10.209666666666667,9.875463145257205,-0.5844046886677632,False,False,non_specific,0.5994346438454512,0.6,False
P2rx3,2.3333333333333335,2.081665999466133,1.3333333333333333,2.3094010767585034,-0.5145731728297586,False,False,non_specific,0.607467812156727,0.61,False
Fubp3,3.989666666666667,3.7523209262179766,2.388666666666667,4.137292029012858,-0.5582257098641185,False,False,non_specific,0.6458397461578118,0.65,False
Bicdl1,6.245,6.261061331755185,3.91,3.451807497529374,-0.5612626652422363,False,False,non_specific,0.6098305182723585,0.61,False
Eif5,6.374333333333333,7.9915678269869765,3.2006666666666668,2.9278745419387993,-0.8118943214244474,False,False,non_specific,0.5721470908228992,0.57,False
Col14a1,50.61000000000001,44.551511972098105,31.253666666666664,54.132938589488504,-0.6781874520667666,False,False,non_specific,0.6583408863897858,0.66,False
Mgat5b,3.3333333333333335,3.511884584284246,2.0,3.4641016151377544,-0.53051471669878,False,False,non_specific,0.6640426340570693,0.66,False
Mark2,6.915666666666667,8.243566845324501,4.552666666666666,7.885449976591909,-0.5115300691450375,False,False,high_in_SCFA,0.7379315260641678,0.74,False
Entpd5,107.94866666666667,95.5954333445554,68.98866666666667,119.4918758131001,-0.6384553115387454,False,False,non_specific,0.683053962551711,0.68,False
Psen2,14.988999999999999,11.711053026948518,6.762666666666667,7.289433814318732,-1.042455467314103,False,False,non_specific,0.3704114679296942,0.37,False
Morf4l1,7.102666666666667,7.808457295351838,3.6946666666666665,1.0917972949835213,-0.7873740646819287,False,False,non_specific,0.5295644595205546,0.53,False
Cntln,1.2166666666666668,1.1298992580461913,0.4323333333333333,0.7488232991389446,-0.630024563501976,False,False,non_specific,0.3808673227682548,0.38,False
Pitrm1,132.82500000000002,42.68200759102131,92.55366666666667,64.13052677417622,-0.5164815491447439,False,False,non_specific,0.42347583966085295,0.42,False
Elk4,7.867999999999999,8.335962571892942,3.126333333333333,5.4149681747295,-1.1037484005265126,False,False,non_specific,0.46221302927253194,0.46,False
Zfp287,4.31,4.016756278391807,1.5893333333333333,2.7528060834961354,-1.0361311609934798,False,False,non_specific,0.39456185444078723,0.39,False
Zc3h12b,4.365333333333333,2.8313257201059248,2.3333333333333335,2.081665999466133,-0.6867022102560775,False,False,non_specific,0.37790831114161977,0.38,False
Eif4enif1,128.05499999999998,92.29549868222176,78.978,72.05540636898802,-0.690310927681608,False,False,non_specific,0.5102778994743595,0.51,False
Hapln1,2.3333333333333335,2.5166114784235836,1.0,1.7320508075688772,-0.7369655941662062,False,False,non_specific,0.49676001783393,0.5,False
Xpot,2.7913333333333328,2.4730831634486803,1.1273333333333333,1.9525986103993145,-0.8336591956729196,False,False,non_specific,0.4147003402575036,0.41,False
Acat2,94.10766666666666,110.83491238925276,45.24100000000001,39.483029683650166,-1.040389044338402,False,False,non_specific,0.5332474719336937,0.53,False
Zfp12,30.891333333333336,33.009474781240215,14.902000000000001,25.81102113439141,-1.003956190799717,False,False,non_specific,0.5467599045991833,0.55,False
F2,13.0,11.789826122551595,6.0,10.392304845413264,-1.0,False,False,non_specific,0.48411663157014306,0.48,False
Rbm33,5.982,5.7847834013038035,3.199,5.540830533412838,-0.7335945687177367,False,False,SCFA_specific_high,0.5798318762760035,0.58,False
Itsn1,2.0509999999999997,2.0842603004423417,0.9346666666666666,1.6188901548077104,-0.6571971612330679,False,False,non_specific,0.5067182560078874,0.51,False
Ivns1abp,180.11166666666668,105.38006289774805,108.04599999999999,150.60169196592713,-0.7319426329940903,False,False,non_specific,0.5384342281770162,0.54,False
BC035044,5.0,4.58257569495584,2.3333333333333335,4.041451884327381,-0.84799690655495,False,False,non_specific,0.4923833306898268,0.49,False
Popdc2,98.85866666666668,81.29485819738746,63.46533333333334,75.08455423276703,-0.6313640935388276,False,False,non_specific,0.6092923708036433,0.61,False
Zfp993,2.576,2.238374633523173,1.2743333333333333,2.207210079111939,-0.6529030209435475,False,False,non_specific,0.5129131858789893,0.51,False
Immt,2.978666666666667,2.579628913881478,1.468,2.542650585511112,-0.6889426403846638,False,False,non_specific,0.51004080869567,0.51,False
Galnt2,24.426,22.70829520241447,14.883333333333333,25.77868951931679,-0.6787908027206335,False,False,non_specific,0.6559457164991032,0.66,False
Abi1,63.467999999999996,60.24371493359286,33.208999999999996,57.51967526855485,-0.914207295491319,False,False,non_specific,0.563420220021212,0.56,False
Nrros,58.99666666666667,51.79565651030338,31.201999999999998,54.043449297764106,-0.8977320548254277,False,False,non_specific,0.5552182771506207,0.56,False
Cd33,4.748666666666666,4.378514055399769,2.554,4.423657762530913,-0.6937836979169163,False,False,non_specific,0.574381202011554,0.57,False
Galnt7,6.452000000000001,5.877151691083021,3.4153333333333333,5.915530858116906,-0.7551053167695878,False,False,non_specific,0.5624474819449906,0.56,False
Arhgap4,73.23800000000001,85.68447868196434,40.77033333333333,70.61628877485232,-0.8296791877722063,False,False,non_specific,0.6400839314276189,0.64,False
Ccdc88a,6.678333333333334,5.87087509093264,3.674,6.363554667008056,-0.716135457987592,False,False,non_specific,0.5804229403440773,0.58,False
B230118H07Rik,6.234666666666667,5.399468708431723,3.316333333333333,5.744057828167588,-0.7451202641446238,False,False,non_specific,0.5564233885131555,0.56,False
Ptprc,244.40633333333335,150.8217918284136,156.472,189.42068631487956,-0.6400771551953822,False,False,non_specific,0.5650773787884207,0.57,False
Gpx1,10.405,5.900557177080822,6.812,8.331398261996602,-0.545902592312708,False,False,non_specific,0.5784729331298644,0.58,False
Ncoa7,4.9303333333333335,5.603079272447726,2.785,4.823761499079324,-0.6478198981237618,False,False,non_specific,0.6422180377270852,0.64,False
Bpifa1,25165.738666666668,29869.678710202796,14406.519,24163.96834129657,-0.804696348867692,False,False,non_specific,0.6540547381806698,0.65,False
Zfp958,41.333333333333336,44.83674088661366,24.349666666666668,42.17485981403298,-0.7398273144087483,False,False,non_specific,0.657761334206165,0.66,False
Ube3a,47.52133333333334,56.09128618005949,26.481333333333335,45.86701478550063,-0.8201671930671826,False,False,non_specific,0.6424135578460906,0.64,False
Prnd,3.0,2.6457513110645907,1.6666666666666667,2.8867513459481287,-0.5849625007211561,False,False,non_specific,0.5872759029298853,0.59,False
Myo1h,45.89166666666667,39.9668165148706,25.447,44.075496900205216,-0.826227477210666,False,False,non_specific,0.5840554719658957,0.58,False
Sos2,97.45433333333334,85.10665587563251,62.558,108.35363441989384,-0.631380978128291,False,False,non_specific,0.684746645882518,0.68,False
Rgs11,158.2446666666667,138.58842514919252,90.71633333333334,157.12529840968747,-0.7959944707222706,False,False,non_specific,0.6068741724993039,0.61,False
