gene_symb,GF_mean,GF_std,SCFA_mean,SCFA_std,log2FC,is_GF_all_zero,is_SCFA_all_zero,gene_type,pvalue,padj,reject_null,significant,regulation,is_specific
Atp2b3,1.0,1.7320508075688776,1.3333333333333333,2.309401076758504,-0.6915341649192001,False,False,non_specific,0.4226497308103742,0.42,False,False,Not significant,True
Gabpb2,8.000000000000002,6.144902831319536,7.281,5.362716700769937,0.702993061375745,False,False,non_specific,0.6105279410938365,0.61,False,False,Not significant,True
Kif2a,58.55566666666666,58.29538519150011,64.37622222222222,48.24887449976571,0.5754044851067688,False,False,non_specific,0.712863798697859,0.71,False,False,Not significant,True
Lilrb4a,39.87199999999999,19.249641926600376,47.349833333333336,18.84366648910201,0.2776013139525189,False,False,non_specific,0.6364034132333171,0.64,False,False,Not significant,True
Asb2,182.5115,163.68938450618126,308.37333333333333,464.99695920116574,0.7903798725513556,False,False,non_specific,0.6823038919972684,0.68,False,False,Not significant,True
Esf1,173.22733333333335,74.63324354021694,203.58,35.33607942316182,0.2316941360428115,False,False,non_specific,0.5717271274887074,0.57,False,False,Not significant,True
Selenov,0.3333333333333333,0.5773502691896258,0.6666666666666666,1.1547005383792517,0.3219280948873623,False,False,non_specific,0.6855984144761553,0.69,False,False,Not significant,True
Wdfy4,130.20049999999998,119.82514778260138,138.0,64.04578056444183,0.577660916677525,False,False,non_specific,0.4824597758985395,0.48,False,False,Not significant,True
Dcst1,0.3333333333333333,0.5773502691896258,0.6666666666666666,1.1547005383792517,0.3219280948873623,False,False,non_specific,0.6855984144761553,0.69,False,False,Not significant,True
Plaat1,3.6666666666666665,2.081665999466133,8.333333333333332,13.138075226973966,2.437849150194475,False,False,non_specific,0.4226497308103741,0.42,False,False,Not significant,True
Mrpl3,118.54233333333332,49.69061532558955,126.06583333333336,61.16369155087661,0.6968209396865594,False,False,non_specific,0.7189619703846385,0.72,False,False,Not significant,True
Ighv1-78,0.3333333333333333,0.5773502691896258,0.6666666666666666,1.1547005383792517,0.3219280948873623,False,False,non_specific,0.6855984144761553,0.69,False,False,Not significant,True
Csrp3,891.2429999999999,1019.0225822556632,1606.1096666666665,2575.503281512243,0.8489597967232735,False,False,non_specific,0.6892801062397396,0.69,False,False,Not significant,True
Wnk3,0.3333333333333333,0.5773502691896258,0.6666666666666666,1.1547005383792517,0.3219280948873623,False,False,non_specific,0.6855984144761553,0.69,False,False,Not significant,True
Sim1,0.1666666666666666,0.2886751345948129,1.0,1.7320508075688772,1.0484687096344758,False,False,non_specific,0.4226497308103742,0.42,False,False,Not significant,True
Lin52,7.666666666666665,1.8349790900908969,8.6655,4.866522319482358,0.3658048229840093,False,False,non_specific,0.6797340266866809,0.68,False,False,Not significant,True
Ndufs4,345.24555555555554,201.4526853272036,336.1762222222223,193.4922522053664,-1.1146815656043243,False,False,non_specific,0.5827084784604647,0.58,False,False,Not significant,True
Crebbp,108.69733333333332,79.78222449373258,131.51533333333333,156.17351372489412,1.209003939235903,False,False,non_specific,0.6377853983294063,0.64,False,False,Not significant,True
Nlrp2,4.333333333333333,1.5275252316519463,5.333333333333333,4.932882862316247,0.2479275134435855,False,False,non_specific,0.764627761719794,0.76,False,False,Not significant,True
Timm8a1,30.33333333333333,11.50362261782493,33.68566666666667,10.594310564323347,0.1466413577171791,False,False,non_specific,0.7293771882096438,0.73,False,False,Not significant,True
Ehbp1,44.0,38.1030874311051,46.501,41.07012958389664,0.5473152138032873,False,False,non_specific,0.6612153422888174,0.66,False,False,Not significant,True
Lao1,0.3333333333333333,0.5773502691896258,1.0,1.7320508075688772,0.5849625007211562,False,False,non_specific,0.5813147638521413,0.58,False,False,Not significant,True
Ostn,0.3333333333333333,0.5773502691896258,1.0,1.7320508075688772,0.5849625007211562,False,False,non_specific,0.5813147638521413,0.58,False,False,Not significant,True
Fbln7,8.333333333333334,7.571877794400365,14.666666666666666,21.07921567168317,0.7472339296200331,False,False,non_specific,0.6638781005737087,0.66,False,False,Not significant,True
Zfp819,3.0,1.0,3.6666666666666665,3.214550253664318,0.2223924213364477,False,False,non_specific,0.7595459738111858,0.76,False,False,Not significant,True
Copz2,161.26316666666668,60.51658567782456,162.20083333333335,55.472933579303294,0.364967180610589,False,False,non_specific,0.6636536701675049,0.66,False,False,Not significant,True
Plekhg6,74.0,21.16601048851673,106.99333333333334,101.34426541908196,0.5259797536694182,False,False,non_specific,0.6324678306379076,0.63,False,False,Not significant,True
Agtr1b,0.6666666666666666,1.1547005383792517,1.3333333333333333,1.5275252316519468,0.4854268271702416,False,False,non_specific,0.5812879633041127,0.58,False,False,Not significant,True
Chil4,17.311333333333334,18.12845388700684,45.74633333333333,78.36364075471056,1.3521163637155569,False,False,non_specific,0.5973354803846763,0.6,False,False,Not significant,True
A830018L16Rik,4.8,7.241039947969034,6.401066666666667,9.17012364084712,-2.282044356489996,False,False,non_specific,0.4226497308103741,0.42,False,False,Not significant,True
Ctsg,0.3333333333333333,0.5773502691896258,0.6666666666666666,1.1547005383792517,0.3219280948873623,False,False,non_specific,0.6855984144761553,0.69,False,False,Not significant,True
Pgam2,1365.0276666666668,1485.9848916248557,2846.526333333333,4642.996575732674,1.0597224803763636,False,False,non_specific,0.6432133090336922,0.64,False,False,Not significant,True
Gpr173,0.6666666666666666,1.1547005383792517,1.3333333333333333,2.309401076758504,0.4854268271702416,False,False,non_specific,0.6855984144761553,0.69,False,False,Not significant,True
Gm14326,19.22233333333333,7.295603244405037,21.474666666666668,13.23543258483624,0.8284712583999458,False,False,non_specific,0.603112202987161,0.6,False,False,Not significant,True
Celf5,0.3333333333333333,0.5773502691896258,0.6666666666666666,1.1547005383792517,0.3219280948873623,False,False,non_specific,0.6855984144761553,0.69,False,False,Not significant,True
