gene_symb,GF_mean,GF_std,SCFA_mean,SCFA_std,log2FC,is_GF_all_zero,is_SCFA_all_zero,gene_type,pvalue,padj,reject_null
Plekhh3,0.963,1.667964928,5.126666667,1.064967762,1.642042188,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Usp33,36.94166667,32.11078203,167.4403333,44.5587091,2.150382677,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
Krt86,0.333333333,0.577350269,3.000666667,1.001000167,1.58520293,FALSE,FALSE,SCFA_specific_low,0.01,0.01,TRUE
Klf9,52.01766667,15.40171862,146.1736667,39.52891954,1.472974474,FALSE,FALSE,high_in_SCFA,0.04,0.04,TRUE
Clcn7,4.504666667,7.802311538,36.06766667,9.674606056,2.751434194,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Bag6,703.3863333,363.6406577,1569.436333,114.792439,1.156726633,FALSE,FALSE,high_in_SCFA,0.04,0.04,TRUE
Jag2,223.0656667,105.8877327,481.1046667,28.33732444,1.105424792,FALSE,FALSE,high_in_SCFA,0.04,0.04,TRUE
Plaur,245.5343333,62.38494061,556.3283333,141.0341937,1.176738923,FALSE,FALSE,non_specific,0.05,0.05,FALSE
Stx1a,2.957,3.739817776,12.49633333,1.472065329,1.770088541,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Ccl17,36.00066667,6.998857145,97.334,22.12100061,1.410139065,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Asb14,28.975,50.18617215,152.525,46.30424353,2.356641944,FALSE,FALSE,high_in_SCFA,0.04,0.04,TRUE
Setd2,0.825,1.428941916,4.271666667,0.663822516,1.530362686,FALSE,FALSE,high_in_SCFA,0.04,0.04,TRUE
Smurf1,12.456,10.89985876,41.00566667,1.11038792,1.642334353,FALSE,FALSE,high_in_SCFA,0.04,0.04,TRUE
BC051142,6.612,0.851694194,15.83233333,3.294459035,1.144887713,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Srrm1,223.8113333,63.33317922,500.8566667,26.01550411,1.158560613,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Impdh1,4.315666667,3.768621278,28.356,8.768127451,2.465332858,FALSE,FALSE,GF_specific_low,0.03,0.03,TRUE
Becn1,0.466,0.807135676,2.975333333,0.128321212,1.439190733,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Phrf1,53.791,46.62510497,207.5906667,27.9372367,1.928663766,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Zfp341,6,10.39230485,43.66666667,10.11599394,2.673771768,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
2900026A02Rik,10.40533333,7.982551555,46.274,9.873025423,2.051338329,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Arhgef6,2.924333333,5.065093912,19.12066667,3.558186664,2.358158613,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Saxo2,1.172333333,1.26731856,5.018333333,0.541077012,1.47011852,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
Sdccag8,0.479333333,0.830229687,3.105,0.137175071,1.472435055,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Rexo1,7.118333333,12.329315,43.801,5.558009716,2.464275452,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
D930048N14Rik,2.940333333,1.628705109,9.716666667,1.445971415,1.443466652,FALSE,FALSE,high_in_SCFA,0.01,0.01,TRUE
Kmt5b,0.955,1.654108521,9.334333333,3.087146309,2.402204811,FALSE,FALSE,high_in_SCFA,0.02,0.02,TRUE
Klf15,115.3356667,11.54729433,375.3036667,94.99864199,1.693603875,FALSE,FALSE,high_in_SCFA,0.04,0.04,TRUE
Tsc22d3,295.0716667,49.13869303,812.6383333,229.4329323,1.458441216,FALSE,FALSE,non_specific,0.05,0.05,FALSE
Cops7a,5.628,9.747981945,29.58533333,2.322805703,2.206194492,FALSE,FALSE,high_in_SCFA,0.04,0.04,TRUE
Pprc1,121.3173333,39.69968232,312.9326667,85.3106179,1.359826299,FALSE,FALSE,high_in_SCFA,0.04,0.04,TRUE
Herpud1,1027.666,109.1700216,2248.342,406.640327,1.128728405,FALSE,FALSE,high_in_SCFA,0.03,0.03,TRUE
Swi5,3.778333333,1.911858084,8.708333333,0.294253859,1.022716145,FALSE,FALSE,high_in_SCFA,0.04,0.04,TRUE
