gene_symb,gene_symb_1
Ramp3,Slc30a5
Ccdc141,Wdr70
Sh2d5,Acad9
Per1,Ccna1
Dpep2,Smc4
Ssbp2,Lamtor2
Cdkl5,Ssr2
Cxcl10,Krtcap2
Tspan17,Pear1
Nr1d1,Ptpn22
Tacc2,St7l
BC051142,Rtca
Tbc1d17,Mettl14
Cst8,Pkp4
Mucl3,Cybrd1
Klhl26,Fam227b
Lrrc27,Nphp1
Nol12,Raly
Clasrp,Oser1
Smcr8,Pigt
Chia1,Osbpl2
Ltbp2,Ythdf1
Nfya,Helz2
Prrg4,Nacc2
Qtrt1,Pmpca
Npff,Plpp7
Chd7,Ciz1
Nr1h2,Srpk2
Col4a4,Tmem176a
Zfp758,Fkbp9
Spef1l,Usp39
Lrriq3,Rnf181
Gm8108,Mob1a
Coro6,Cct7
Nr1d2,Nampt
Cfap100,Sec13
Ralgps2,Mkrn2
Tfe3,Csgalnact2
Bcl2l2,Car8
Nav1,Ncbp1
Man2c1,Prpf4
Mbnl2,Kdm4c
Tmem40,Ttc22
Psmc5,Osbpl9
Gar1,Txndc12
Zbbx,Echdc2
Mpnd,Mfsd2a
Fsd1l,Dhdds
Phldb2,Capzb
Max,Sdhb
Gm14548,Efhd2
Zcchc2,Eif3g
Wt1,Gpalpp1
Mid1,Atl2
Shroom2,Pum2
Bcor,Eif2s3
Slc25a36,Prorp
Pank2,Rhoj
Txndc2,Rab15
Ythdf3,Dlst
Srrm1,Ttc8
Kank3,Akap8l
Pcf11,Med16
Socs7,Glipr1
Dhdds,Yeats4
Synpo,Tbk1
Ndufaf3,Ext1
Tarbp2,Zc3h3
Insl5,Fam118a
Ppp6r2,Slc48a1
Large2,Myg1
Spink4,Naalad2
Rcor1,Ecsit
Cep170b,Adamts15
Cldn7,Mpzl2
Spsb3,Fbxo22
Prkcg,Etfa
Ncor1,Bbs4
Pcdh18,Clpx
Pfkfb4,Leo1
Rnf223,Cep162
Aoc2,Nck1
Gapvd1,Abhd14a
Pcdha5,Ifrd2
Mettl3,Nckipsd
