Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
NURSA_Human_Endogenous_Complexome,BL9484 (EYA2),16/120,0.00075326,0.00620311,0,0,2.712565785,19.50633344,MCCC2;TOP2A;RBM39;RFC3;SF3B2;PIH1D1;ACTL6A;HNRNPU;DLST;PRPF4;HNRNPK;FUBP1;LMNA;OGDH;DLAT;MAD1L1
NURSA_Human_Endogenous_Complexome,BL119 (ATR),28/270,0.000770099,0.006312696,0,0,2.04809839,14.68279873,TOP2A;AKAP8L;HNRNPU;ELAVL1;PCMT1;CAPZB;PUF60;U2AF2;LMNA;CCT7;KPNA3;APPL2;ACTR2;RBM39;XRCC6;NPM1;RFC3;PNO1;RPS5;ACTL6A;DDX52;HNRNPAB;DNAJA1;HNRNPK;ACTC1;MAGED2;HNRNPC;MAD1L1
NURSA_Human_Endogenous_Complexome,BL4857 (CIC),17/132,0.000780602,0.006327142,0,0,2.607341545,18.65668847,TOP2A;SF3B2;HNRNPU;DLST;DDX52;USP39;PRPF4;SART1;PRPF6;HNRNPK;EWSR1;U2AF2;LMNA;OGDH;DLAT;MAD1L1;RBM6
NURSA_Human_Endogenous_Complexome,BL892 (BLM),17/132,0.000780602,0.006327142,0,0,2.607341545,18.65668847,TOP2A;RFC3;NPM1;HNRNPA3;ACTL6A;RECQL;HNRNPU;HNRNPAB;DHDDS;DNAJA1;HNRNPK;YWHAQ;TCOF1;PRC1;LMNA;HNRNPC;BRD4
NURSA_Human_Endogenous_Complexome,BL2881 (CHEK2),26/244,0.000782484,0.006327142,0,0,2.109892113,15.09213741,TOP2A;HNRNPU;USP39;SMC4;SART1;TCOF1;PUF60;U2AF2;LMNA;CCT7;RBM6;RBM17;XRCC6;NPM1;RFC3;ACTL6A;DDX52;KLF16;SMU1;PRPF4;HNRNPK;PRPF6;ACTC1;EWSR1;UBA1;MAD1L1
NURSA_Human_Endogenous_Complexome,CBC2232 (AKAP8),14/98,0.000793558,0.006387782,0,0,2.93623324,20.96172312,TOP2A;NPM1;RECQL;AKAP8;HNRNPU;F3;GIGYF2;SULF2;HNRNPK;ACTC1;YWHAQ;LMNA;MAP6;MAD1L1
NURSA_Human_Endogenous_Complexome,BL595 (APTX),31/311,0.00080728,0.006469101,0,0,1.96138987,13.96870461,TOP2A;AKAP8L;HNRNPU;HTATSF1;SMC4;C3;PCMT1;NPEPPS;TCOF1;LMNA;CCT7;ABCF3;RBM39;XRCC6;NPM1;RFC3;SSR4;CPSF1;PIH1D1;ACTL6A;AIP;ZFC3H1;PDIA4;DNAJA1;PRPF6;EIF3G;MAGED2;TAF6;KIF20A;MAD1L1;PDE9A
NURSA_Human_Endogenous_Complexome,SC-197 (MAX),36/380,0.000822508,0.006558643,0,0,1.856433664,13.18653035,TOP2A;COPA;MAX;AKAP8L;HNRNPU;SMC4;TCOF1;CAPZB;PUF60;U2AF2;LMNA;LONP1;EP400;CCT7;KPNA3;RANBP1;RBM39;XRCC6;NPM1;RFC3;UBE2I;ACTL6A;CNOT10;GATAD2A;DDX19A;HNRNPK;EHD4;POLR3A;ACTC1;HEATR5A;FUBP1;EIF3J;MAGED2;TAF6;HNRNPC;MAD1L1
NURSA_Human_Endogenous_Complexome,BL1870 (TRIP4),27/258,0.000825794,0.006558643,0,0,2.068255608,14.68288729,TOP2A;HNRNPU;PEBP1;ELAVL1;GANAB;TCOF1;YWHAQ;LMNA;ANXA7;RANBP1;XRCC6;NPM1;G6PD;ACTL6A;ANXA5;HNRNPAB;SND1;PDIA4;DDX19A;HNRNPK;ACTC1;MTHFD1;FUBP1;MAGED2;UBA1;HNRNPC;MAD1L1
NURSA_Human_Endogenous_Complexome,BL978 (PLK1),17/133,0.000850852,0.006727753,0,0,2.584726985,18.27213972,TOP2A;EIF2B4;COPA;EIF2B3;XRCC6;RFC3;ACTL6A;HNRNPU;DDX52;PSMA3;HNRNPK;EIF2S3;ACTC1;PSMA1;FUBP1;LMNA;MCM5
NURSA_Human_Endogenous_Complexome,BL2845 (MED27),19/157,0.000856952,0.006746137,0,0,2.429994824,17.1609364,TOP2A;RBM17;RBM39;RFC3;PLEKHA5;HNRNPU;DLST;DDX52;ARFGAP2;DDX19A;HNRNPK;TCOF1;PUF60;U2AF2;LMNA;OGDH;DLAT;CCT7;MAD1L1
NURSA_Human_Endogenous_Complexome,BL2777 (NF2),28/272,0.000863559,0.006768333,0,0,2.031093155,14.32824177,TOP2A;DOCK7;HNRNPU;USP39;TCOF1;PUF60;U2AF2;ARHGDIA;LMNA;MAP6;AP3S1;CCT7;RBM39;XRCC6;NPM1;ACTL6A;ZFC3H1;DDX52;MED23;PRPF4;DDX19A;HNRNPK;PRPF6;ACTC1;MAGED2;UBA1;NF2;EIF3B
NURSA_Human_Endogenous_Complexome,BL1796 (BCL11A),23/207,0.000869659,0.00678638,0,0,2.209080189,15.56829176,TOP2A;NPM1;RFC3;ACTL6A;HNRNPU;PEBP1;DDX52;ELAVL1;SND1;GATAD2A;DNAJA1;HNRNPK;ACTC1;EIF6;TCOF1;PUF60;U2AF2;LMNA;EFHD2;MAGED2;ARHGEF1;UBA1;MAD1L1
NURSA_Human_Endogenous_Complexome,a-CLSPN (CLSPN),27/259,0.000875613,0.006803135,0,0,2.059230505,14.49818935,TOP2A;SF3B2;DDX27;AKAP8;HNRNPU;HTATSF1;USP39;ELAVL1;SART1;BCLAF1;WDR70;ZMYM3;TCOF1;LMNA;RBM39;XRCC6;NPM1;RFC3;HNRNPA3;RPS5;AP2B1;SENP3;HNRNPAB;HNRNPK;PRPF6;TIMELESS;HNRNPC
NURSA_Human_Endogenous_Complexome,BL2799 (CCNA1),24/220,0.00088107,0.0068159,0,0,2.16465283,15.22697524,TOP2A;CPSF4;RBM39;XRCC6;NPM1;RFC3;CAMK2D;SHMT1;ACTL6A;HNRNPU;DDX52;MED23;DDX19A;HNRNPK;MED24;PRPF6;GNL3L;ACTC1;TCOF1;PUF60;U2AF2;LMNA;HMG20B;MAD1L1
NURSA_Human_Endogenous_Complexome,BL5930 (SPAG5),32/327,0.000914945,0.007047445,0,0,1.921991969,13.44749795,TOP2A;HP1BP3;HNRNPU;DLST;MED16;ELAVL1;PCMT1;TCOF1;PUF60;U2AF2;LMNA;DLAT;RBM39;XRCC6;NPM1;RFC3;HNRNPA3;CPSF1;RPS5;ACTL6A;ANXA5;ZFR;DNTTIP1;DDX52;DNAJA1;AIMP2;HNRNPK;GNL3L;ACTC1;OGDH;MAGED2;UBA1
NURSA_Human_Endogenous_Complexome,BL2533 (OBFC1),33/341,0.00092858,0.007121772,0,0,1.898877551,13.25768534,TOP2A;SF3B2;DDX27;HP1BP3;HNRNPU;MED16;SUPT6H;TCOF1;PUF60;U2AF2;TRA2B;LMNA;TEAD1;RBM17;RBM39;XRCC6;NPM1;RFC3;PNO1;ACTL6A;MED9;DDX52;HNRNPAB;KLF16;GATAD2A;MED23;DDX19A;HNRNPK;MED24;ACTC1;EWSR1;MAGED2;MAD1L1
NURSA_Human_Endogenous_Complexome,BL129 (MSH6),34/355,0.000938311,0.007165652,0,0,1.877664234,13.09000219,TOP2A;COPA;AKAP8L;HNRNPU;SMC4;TCOF1;PUF60;VPS72;U2AF2;LMNA;POLD2;CCT7;FBXO7;RBM17;RBM39;XRCC6;NPM1;RFC3;CPSF1;ACTL6A;DDX52;GATAD2A;ARFGAP2;TOX4;DDX19A;HNRNPK;PRPF6;GNL3L;POLR3A;ACTC1;FUBP1;MAGED2;HNRNPC;MAD1L1
NURSA_Human_Endogenous_Complexome,BL4457 (AATF),31/314,0.000945215,0.007172739,0,0,1.940285373,13.51233685,TOP2A;SP100;RNH1;HNRNPU;SMC4;ELAVL1;YWHAQ;PUF60;VPS72;SIN3A;LMNA;CCT7;BRD4;RBM39;XRCC6;NPM1;RFC3;CPSF1;PNO1;DNTTIP1;DDX52;PRLR;GATAD2A;NUP93;DDX19A;HNRNPK;POLR3A;ACTC1;EWSR1;MAGED2;MAD1L1
NURSA_Human_Endogenous_Complexome,BL1326 (FOXO3),36/383,0.000947267,0.007172739,0,0,1.840086538,12.81055246,TOP2A;COPA;HNRNPU;MED16;SMC4;ELAVL1;GIGYF2;BCLAF1;PUF60;LMNA;EP400;ANXA7;BRD8;CCT7;XRCC6;NPM1;RFC3;ACTL6A;AIP;MED9;GATAD2A;ARFGAP2;NUP93;EHD1;MED23;DNAJA1;DDX19A;HNRNPK;MED24;ACTC1;UBE2S;CRYZL1;MAGED2;ARHGEF1;UBA1;MAD1L1
NURSA_Human_Endogenous_Complexome,BL1041 (QKI),14/100,0.000972345,0.007246118,0,0,2.86764418,19.88940492,TOP2A;HNRNPA3;HNRNPU;MED16;ELAVL1;HNRNPAB;MED23;HNRNPK;MED24;MED31;LMNA;EP400;MAGED2;HNRNPC
NURSA_Human_Endogenous_Complexome,BL1756 (MED23),14/100,0.000972345,0.007246118,0,0,2.86764418,19.88940492,TOP2A;XRCC6;HNRNPU;DDX52;MED23;DNAJA1;HNRNPK;ACTC1;TCOF1;SIN3A;NFX1;OXCT1;FUBP1;LMNA
NURSA_Human_Endogenous_Complexome,BL1111 (CENPF),30/301,0.000973603,0.007246118,0,0,1.960240115,13.59329864,TOP2A;SF3B2;DDX27;HP1BP3;HNRNPU;ELAVL1;SART1;TCOF1;PUF60;U2AF2;TRA2B;LMNA;LUC7L;DLAT;RBM39;XRCC6;NPM1;RFC3;HNRNPA3;ACTL6A;ZFC3H1;DDX52;HNRNPAB;GATAD2A;DNAJA1;PRPF4;HNRNPK;ACTC1;MAGED2;MAD1L1
NURSA_Human_Endogenous_Complexome,BL2226 (MAPK14),20/171,0.000977232,0.007246118,0,0,2.338252976,16.20593106,KCMF1;TOP2A;RFC3;NPM1;PNO1;HNRNPU;DLST;GATAD2A;PCMT1;AIMP2;HNRNPK;ACTC1;CAPZB;TCOF1;PSMD2;LMNA;OGDH;MAGED2;DLAT;CCT7
NURSA_Human_Endogenous_Complexome,BL6881 (TSGA14),20/171,0.000977232,0.007246118,0,0,2.338252976,16.20593106,TOP2A;RBM39;XRCC6;SEC13;CIZ1;NPM1;TRAPPC10;DOCK7;HNRNPU;DLST;TRAPPC9;DDX41;PCMT1;HNRNPK;TCOF1;PACS1;LMNA;MAGED2;TAF6;MAD1L1
NURSA_Human_Endogenous_Complexome,BL3196 (SIRT2),26/248,0.000994818,0.007285819,0,0,2.071432833,14.31971304,TOP2A;SF3B2;HNRNPU;USP39;SART1;PUF60;NTHL1;U2AF2;RBM6;SRPK2;RBM17;RBM39;NPM1;ACTL6A;ZFR;MBD2;HNRNPAB;GATAD2A;SMU1;PRPF4;HNRNPK;PRPF6;ACTC1;EIF6;EWSR1;SF1
NURSA_Human_Endogenous_Complexome,BL759 (BANP),26/248,0.000994818,0.007285819,0,0,2.071432833,14.31971304,TOP2A;HNRNPU;SMC4;ELAVL1;TCOF1;LMNA;HMG20B;ABCF3;RBM39;XRCC6;RFC3;CIZ1;CPSF1;NCBP1;ACTL6A;PLA2G4A;DNAJA1;DDX19A;HNRNPK;PRPF6;FUBP1;DNAJA2;MAGED2;TAF6;NF2;MAD1L1
NURSA_Human_Endogenous_Complexome,BL2262 (DOCK9),26/248,0.000994818,0.007285819,0,0,2.071432833,14.31971304,TOP2A;SF3B2;DOCK7;HNRNPU;DLST;TANK;SART1;TBK1;CAPZB;U2AF2;LMNA;HMG20B;NPM1;RFC3;HNRNPA3;ZFR;DDX52;FAM91A1;HNRNPAB;DDX19A;HNRNPK;PRPF6;ACTC1;NFX1;OGDH;MAGED2
NURSA_Human_Endogenous_Complexome,BL7566 (HERC2),25/235,0.001000826,0.0072999,0,0,2.104937438,14.53865532,TOP2A;COPA;HNRNPU;SMC4;TANK;TBK1;PUF60;LMNA;HMOX1;CCT7;XRCC6;NPM1;RFC3;PNO1;AP2B1;FAM91A1;GATAD2A;NUP93;DDX19A;SEC23IP;HNRNPK;ACTC1;UBE2S;MAGED2;MAD1L1
